"Day","Cash On Hand"
11,339121
12,164206
13,93496
14,486615
15,336164
16,157457
17,194010
18,77283
19,122983
20,145737
21,437214
22,554977
23,359293
24,310569
25,410244
26,337566
27,168225
28,477403
29,581529
30,423452
31,228955
32,499162
33,267284
34,450184
35,326102
36,164954
37,134179
38,381328
39,652194
40,153784
41,285816
42,463012
43,322608
44,381554
45,237785
46,586413
47,607941
48,220172
49,103426
50,220900
51,607943
52,736790
53,129063
54,640503
55,73079
56,126317
57,86338
58,152205
59,226467
60,186026
61,55320
62,568679
63,293548
64,287827
65,49955
66,83064
67,632881
68,85196
69,35687
70,906263
71,2414336
72,2127701
73,2507649
74,2518192
75,2618469
76,2051860
77,1590978
78,2179160
79,2718204
80,2371865
81,2414224
82,3544066
83,2936357
84,3356383
85,4150821
86,4114822
87,3862679
88,4376652
89,4622945
90,5031869